,ItemID,ItemDescription,DateObtained,Price,Weight,SouvenirName,CityName,RegionName,CountryName,CategoryName,PlaceName,Latitude,Longitude,OwnerName
58,95,,2007/07/07,8.95,4.2,Shot Glass,Berlin,Brandenburg,Germany,Kitchenware,,,,Group 1
59,81,,2019/12/23,29.95,13.4,Resort Snowglobe,Orlando,Florida,United States,Miscellaneous,Disney World,,,Group 1
60,82,,2020/12/02,50.0,5.0,Iron Standing Dog,New Delhi,Haryana,India,Miscellaneous,Austryan Crystals,,,Group 1
61,86,,2018/05/18,22.0,8.0,Cast Iron Door Stop,Toronto,Ontario,Canada,Miscellaneous,AIMONOCOIN,,,Group 1
62,94,,2016/07/04,2.0,1.0,American Flag,Washington DC,Washington DC,United States,Miscellaneous,,,,Group 1
63,79,,2007/01/10,15.0,6.7,Tenugui Cotton Cloth Rice Grains,Niigata,Echigo,Japan,Clothing,,,,Group 1
64,90,,2002/08/03,49.99,20.0,Alpaca Poncho,Melbourne,Victoria,Australia,Clothing,,,,Group 1
65,92,,2016/09/23,19.99,5.0,Chicago Cubs T-Shirt,Beijing,Hebei,China,Clothing,Wrigley Field,,,Group 1
66,80,,2008/06/18,20.8,19.36,12'' Ancient Traditional Korea Hanbok Doll,Seoul,Gyeonggi,South Korea,Toy,,,,Group 1
67,96,,2021/05/18,41.16,8.47,Vintage Maori Carving Intricate Patu Club & Long House Box Polynesian Art,Melbourne,Victoria,Australia,Artifact,,,,Group 1
68,97,,2021/12/25,1800000.0,17637.0,"80"" Rare 100% Purple Natural Emerald Jadeite Jade Dragon",Beijing,Hebei,China,Artifact,,,,Group 1
69,83,,2020/12/02,40.0,10.0,Crafts Enameled Cockatoo,Atlanta,Georgia,United States,Art,Austryan Crystals,,,Group 1
70,84,,2013/08/23,25.0,5.0,Hand Painted Rose Flower,Manchester,Lancashire,England,Art,SevenBees,,,Group 1
71,85,,2016/05/15,15.0,6.88,Hand Painted Enameled Telephone,Warsaw,Mazovia,Poland,Art,QIFU,,,Group 1
72,88,,2000/01/01,9.99,5.0,Eiffel Tower Model,Lima,Lima,Peru,Art,Eiffel Tower,,,Group 1
73,89,,2018/05/18,10.0,6.0,Metal Jewelry Box,Washington DC,Washington DC,United States,Art,QIFU,,,Group 1
74,91,,2020/08/05,20.0,18.0,Classic Vintage Antique Heart Shape Jewelry Box,Nairobi,Nairobi,Kenya,Art,QIFU,,,Group 1
75,93,,1999/12/24,35.99,15.0,Decorative African Wood Mask ,Chicago,Illinois,United States,Art,Maasi Mara National Reserve,,,Group 1
76,87,      ,2015/05/08,22.95,10.0,Organic Maple Syrup,Paris,Ile-de-France,France,Food,,,,Group 1
